claim_id,policy_id,claim_amount,claim_date,claim_type
CLM001,POL002,5750,2025-06-02,THEFT
CLM002,POL003,6500,2025-06-03,MEDICAL
CLM003,POL004,7250,2025-06-04,FIRE
CLM004,POL005,8000,2025-06-05,ACCIDENT
CLM005,POL006,8750,2025-06-06,THEFT
CLM006,POL999,9500,2025-06-07,MEDICAL
CLM007,POL008,10250,2025-06-08,FIRE
CLM008,POL009,11000,2025-06-09,ACCIDENT
CLM009,POL010,11750,2025-06-10,THEFT
CLM010,POL011,12500,2025-06-11,MEDICAL
CLM011,POL012,-1000,2025-06-12,FIRE
CLM012,POL013,14000,2025-06-13,ACCIDENT
CLM013,POL014,14750,2025-06-14,THEFT
CLM014,POL015,15500,2025-06-15,MEDICAL
CLM015,POL016,16250,2025-06-16,FIRE
CLM016,POL017,17000,invalid_date,ACCIDENT
CLM017,POL018,17750,2025-06-18,THEFT
CLM018,POL019,18500,2025-06-19,MEDICAL
CLM019,POL020,19250,2025-06-20,FIRE
CLM020,POL021,20000,2025-06-21,ACCIDENT
CLM021,POL022,500000,2025-06-22,THEFT
CLM022,POL023,21500,2025-06-23,MEDICAL
CLM023,POL024,22250,2025-06-24,FIRE
CLM024,POL025,23000,2025-06-25,ACCIDENT
CLM025,POL026,23750,2025-06-26,THEFT
CLM026,POL027,24500,2025-06-27,MEDICAL
CLM027,POL028,25250,2025-06-28,FIRE
CLM028,POL029,26000,2025-06-01,ACCIDENT
CLM029,POL030,26750,2025-06-02,THEFT
CLM030,POL001,27500,2025-06-03,MEDICAL
CLM031,POL002,28250,2025-06-04,FIRE
CLM032,POL003,29000,2025-06-05,ACCIDENT
CLM033,POL004,29750,2025-06-06,THEFT
CLM034,POL005,30500,2025-06-07,MEDICAL
CLM035,POL006,31250,2025-06-08,FIRE
CLM036,POL007,32000,2025-06-09,ACCIDENT
CLM037,POL008,32750,2025-06-10,THEFT
CLM038,POL009,33500,2025-06-11,MEDICAL
CLM039,POL010,34250,2025-06-12,FIRE
CLM040,POL011,35000,2025-06-13,ACCIDENT
CLM041,POL012,35750,2025-06-14,THEFT
CLM042,POL013,36500,2025-06-15,MEDICAL
CLM043,POL014,37250,2025-06-16,FIRE
CLM044,POL015,38000,2025-06-17,ACCIDENT
CLM045,POL016,38750,2025-06-18,THEFT
CLM046,POL017,39500,2025-06-19,MEDICAL
CLM047,POL018,40250,2025-06-20,FIRE
CLM048,POL019,41000,2025-06-21,ACCIDENT
CLM049,POL020,41750,2025-06-22,THEFT
CLM050,POL021,42500,2025-06-23,MEDICAL
CLM051,POL022,43250,2025-06-24,FIRE
CLM052,POL023,44000,2025-06-25,ACCIDENT
CLM053,POL024,44750,2025-06-26,THEFT
CLM054,POL025,45500,2025-06-27,MEDICAL
CLM055,POL026,46250,2025-06-28,FIRE
CLM056,POL027,47000,2025-06-01,ACCIDENT
CLM057,POL028,47750,2025-06-02,THEFT
CLM058,POL029,48500,2025-06-03,MEDICAL
CLM059,POL030,49250,2025-06-04,FIRE
CLM060,POL001,50000,2025-06-05,ACCIDENT
