policy_id,customer_id,policy_type,coverage_amount,policy_status
POL001,CUST001,HEALTH,105000,ACTIVE
POL002,CUST002,HOME,110000,ACTIVE
POL003,CUST003,AUTO,115000,ACTIVE
POL004,CUST004,HEALTH,120000,ACTIVE
POL005,CUST005,HOME,125000,ACTIVE
POL006,CUST006,AUTO,130000,ACTIVE
POL007,CUST007,HEALTH,135000,EXPIRED
POL008,CUST008,HOME,140000,ACTIVE
POL009,CUST009,AUTO,145000,ACTIVE
POL010,CUST010,HEALTH,150000,ACTIVE
POL011,CUST011,HOME,155000,ACTIVE
POL012,CUST012,AUTO,160000,ACTIVE
POL013,CUST013,HEALTH,165000,ACTIVE
POL014,CUST014,HOME,170000,EXPIRED
POL015,CUST015,AUTO,175000,ACTIVE
POL016,CUST016,HEALTH,180000,ACTIVE
POL017,CUST017,HOME,185000,ACTIVE
POL018,CUST018,AUTO,190000,ACTIVE
POL019,CUST019,HEALTH,195000,ACTIVE
POL020,CUST020,HOME,200000,ACTIVE
POL021,CUST021,AUTO,205000,EXPIRED
POL022,CUST022,HEALTH,210000,ACTIVE
POL023,CUST023,HOME,215000,ACTIVE
POL024,CUST024,AUTO,220000,ACTIVE
POL025,CUST025,HEALTH,225000,ACTIVE
POL026,CUST026,HOME,230000,ACTIVE
POL027,CUST027,AUTO,235000,ACTIVE
POL028,CUST028,HEALTH,240000,EXPIRED
POL029,CUST029,HOME,245000,ACTIVE
POL030,CUST030,AUTO,250000,ACTIVE
